County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Gregory County,South Dakota,46,53,20.4,4247,3805,49,76.8,470,0.461,326,36719,23041,3805,4247,6,5.4,58400,2013
Grenada County,Mississippi,28,43,13.6,21745,12199,274,77.8,518,0.5418,69,34129,21084,12199,21745,9272,10.7,86500,2013
Griggs County,North Dakota,38,39,27.1,2370,2340,4,85.2,422,0.3897,14,45542,27197,2340,2370,4,4.2,61900,2013
Grimes County,Texas,48,185,12.9,26663,19474,105,82.1,602,0.4698,258,43994,20307,19474,26663,4435,9.1,92900,2013
Grundy County,Illinois,17,63,10.3,50064,47649,200,74.8,956,0.404,22,64541,28725,47649,50064,654,8.3,182200,2013
Grundy County,Iowa,19,75,16.8,12416,12223,40,78.6,549,0.4373,8,56827,31164,12223,12416,21,7.2,123700,2013
Grundy County,Missouri,29,79,18.2,10282,9933,65,78.1,525,0.4158,71,37964,19527,9933,10282,108,9.2,72700,2013
Grundy County,Tennessee,47,61,16.7,13657,11302,11,78.6,483,0.472,88,26814,15683,11302,13657,52,7.7,80100,2013
Guadalupe County,New Mexico,35,19,12.5,4626,3701,10,79.5,511,0.4351,92,29071,14198,3701,4626,79,7.3,88400,2013
Guadalupe County,Texas,48,187,11.1,135940,114548,892,75.3,859,0.3951,424,61958,26184,114548,135940,8881,9.1,156000,2013
Guernsey County,Ohio,39,59,14.9,39935,38320,400,78.2,570,0.4375,84,38841,20537,38320,39935,723,8.7,94000,2013
Guilford County,North Carolina,37,81,11.1,495326,283947,6659,78.0,747,0.482,2615,45431,26461,283947,495326,163414,11.3,156000,2013
Gulf County,Florida,12,45,13.7,15793,12279,61,88.4,813,0.4281,111,40455,18546,12279,15793,2909,9.6,120200,2013
Gunnison County,Colorado,8,51,8.9,15421,14728,355,83.4,844,0.4424,65,52332,27654,14728,15421,85,20.1,329500,2013
Guthrie County,Iowa,19,77,17.7,10843,10569,57,78.8,545,0.4378,8,50609,28030,10569,10843,66,6.1,97100,2013
Gwinnett County,Georgia,13,135,6.4,825911,433200,7682,73.6,1002,0.4218,2789,60445,25932,433200,825911,199558,9.3,171300,2013
Haakon County,South Dakota,46,55,16.8,1944,1804,10,74.6,620,0.4338,80,47198,25754,1804,1944,4,6.0,74400,2013
Habersham County,Georgia,13,137,15.2,43181,38065,354,78.0,659,0.4297,98,39306,18910,38065,43181,1759,8.9,137900,2013
Haines Borough,Alaska,2,100,14.4,2546,2057,30,83.0,828,0.3759,209,52866,31096,2057,2546,10,6.0,171900,2013
Hale County,Alabama,1,65,14.1,15594,6207,45,77.6,426,0.5143,42,30051,18812,6207,15594,9219,8.7,79900,2013
Hale County,Texas,48,189,10.5,36150,30384,290,74.7,585,0.4368,199,41191,18004,30384,36150,1661,12.5,70800,2013
Halifax County,North Carolina,37,83,14.3,54251,21860,497,79.0,647,0.4768,1688,32329,17937,21860,54251,27828,9.5,86100,2013
Halifax County,Virginia,51,83,17.1,35938,21817,241,79.6,568,0.4748,70,34659,20929,21817,35938,13223,7.8,106600,2013
Hall County,Georgia,13,139,10.5,182841,149939,1990,74.6,844,0.4467,746,50853,23645,149939,182841,13644,9.6,165300,2013
Hall County,Nebraska,31,79,12.2,59431,54967,585,75.1,646,0.4143,449,48712,23380,54967,59431,1236,9.0,113200,2013
Hall County,Texas,48,191,22.8,3310,2810,39,77.5,488,0.5207,0,33006,19004,2810,3310,176,8.4,42700,2013
Hamblen County,Tennessee,47,63,14.0,62721,57376,559,78.0,627,0.4608,65,39596,21261,57376,62721,2504,8.0,125000,2013
Hamilton County,Florida,12,47,10.9,14655,8889,99,84.6,606,0.4636,43,37716,16295,8889,14655,5199,17.8,73500,2013
Hamilton County,Illinois,17,65,17.3,8413,8242,24,79.2,558,0.4386,30,38417,21960,8242,8413,69,7.0,72800,2013
Hamilton County,Indiana,18,57,8.1,282977,249358,1904,72.4,963,0.431,403,82468,39521,249358,282977,10003,6.5,215600,2013
Hamilton County,Iowa,19,79,15.9,15486,14515,189,78.2,607,0.4386,0,43589,24510,14515,15486,63,7.4,91400,2013
Hamilton County,Kansas,20,75,14.6,2645,2431,16,78.0,497,0.4439,12,43357,24510,2431,2645,1,8.6,75100,2013
Hamilton County,Nebraska,31,81,15.2,9090,8891,52,77.2,709,0.3868,27,56065,26715,8891,9090,31,6.9,113300,2013
Hamilton County,New York,36,41,22.5,4813,4670,9,83.8,610,0.4067,0,51522,28265,4670,4813,30,5.9,164700,2013
Hamilton County,Ohio,39,61,11.5,802481,555408,10398,78.1,698,0.5031,1533,48593,29681,555408,802481,205533,10.8,144400,2013
Hamilton County,Tennessee,47,65,12.9,340973,255323,3721,79.7,741,0.4848,693,46702,27229,255323,340973,68519,10.1,154200,2013
Hamilton County,Texas,48,193,22.7,8410,8318,20,80.2,626,0.4753,0,40655,23067,8318,8410,54,8.2,91500,2013
Hamlin County,South Dakota,46,57,15.0,5925,5775,21,73.1,523,0.4012,11,55563,25233,5775,5925,20,8.1,108100,2013
Hampden County,Massachusetts,25,13,12.5,465144,362153,6501,78.4,791,0.4644,1570,49094,25817,362153,465144,40628,11.4,197900,2013
Hampshire County,Massachusetts,25,15,12.1,159267,142585,1753,84.6,934,0.4443,228,61227,29460,142585,159267,4188,21.1,262600,2013
Hampshire County,West Virginia,54,27,15.9,23746,23136,365,80.5,504,0.4481,0,27766,17734,23136,23746,288,7.6,123800,2013
Hampton City,Virginia,51,650,10.8,136957,58907,1601,78.9,998,0.4147,602,50705,25247,58907,136957,69062,13.0,195400,2013
Hampton County,South Carolina,45,49,12.1,20840,8901,58,79.5,633,0.4943,32,34233,19332,8901,20840,11169,9.5,79400,2013
Hancock County,Georgia,13,141,13.2,9233,2224,88,86.6,666,0.4564,8,25000,12381,2224,9233,6892,11.8,67800,2013
Hancock County,Illinois,17,67,18.1,18949,18549,95,80.2,539,0.4006,41,43925,23714,18549,18949,64,7.5,81600,2013
Hancock County,Indiana,18,59,12.2,70466,67239,403,75.9,820,0.3856,185,62981,28111,67239,70466,1512,7.9,155400,2013
Hancock County,Iowa,19,81,16.5,11243,10863,46,78.2,530,0.3955,24,50105,25814,10863,11243,15,5.9,85300,2013
Hancock County,Kentucky,21,91,13.7,8608,8363,20,76.8,557,0.3817,12,51189,22686,8363,8608,97,8.4,90800,2013
Hancock County,Maine,23,9,17.6,54557,52939,679,83.6,790,0.4432,154,47460,27797,52939,54557,190,8.9,198300,2013
Hancock County,Mississippi,28,45,15.3,44597,39161,436,79.7,761,0.4327,91,44522,22621,39161,44597,3401,8.6,133900,2013
Hancock County,Ohio,39,63,13.3,75239,70588,599,78.9,652,0.4296,93,49589,26139,70588,75239,1094,9.5,127800,2013
Hancock County,Tennessee,47,67,14.9,6737,6582,40,80.6,365,0.4606,19,23892,14326,6582,6737,25,7.0,75900,2013
Hancock County,West Virginia,54,29,16.7,30517,29235,248,80.2,605,0.4534,15,38522,23261,29235,30517,787,6.8,84700,2013
Hand County,South Dakota,46,59,23.0,3433,3410,15,80.9,467,0.4183,6,47679,26027,3410,3433,0,6.2,86400,2013
Hanover County,Virginia,51,85,12.3,100328,86840,555,77.6,1016,0.3916,283,75070,33540,86840,100328,9149,9.2,262000,2013
Hansford County,Texas,48,195,11.6,5566,5185,14,73.5,611,0.4425,22,49150,23969,5185,5566,5,9.6,72900,2013
Hanson County,South Dakota,46,61,13.8,3377,3211,18,69.5,560,0.4163,61,55815,23197,3211,3377,77,6.2,102700,2013
Haralson County,Georgia,13,143,12.8,28594,26341,161,78.5,721,0.441,29,39993,19789,26341,28594,1302,8.9,106800,2013
Hardee County,Florida,12,49,12.0,27336,22191,258,77.0,677,0.4652,157,37125,15366,22191,27336,2265,10.2,85800,2013
Hardeman County,Tennessee,47,69,11.9,26897,15091,135,83.4,593,0.4496,230,30973,14975,15091,26897,10995,10.6,86300,2013
Hardeman County,Texas,48,197,17.6,4087,3478,62,81.0,513,0.4587,8,36377,19829,3478,4087,370,7.9,46800,2013
Hardin County,Illinois,17,69,20.6,4273,4051,27,76.2,297,0.4904,6,37071,22366,4051,4273,40,3.5,72600,2013
Hardin County,Iowa,19,83,17.8,17453,16781,174,78.8,564,0.3987,32,49342,25153,16781,17453,178,8.5,89900,2013
Hardin County,Kentucky,21,93,9.6,106211,85219,1435,76.0,732,0.425,327,48687,24147,85219,106211,12826,11.3,140600,2013
Hardin County,Ohio,39,65,12.1,31886,30691,321,78.2,645,0.4342,114,40415,19626,30691,31886,284,15.9,95600,2013
Hardin County,Tennessee,47,71,18.0,26011,24412,147,81.5,574,0.5081,85,33622,20127,24412,26011,980,8.7,98000,2013
Hardin County,Texas,48,199,12.6,54945,49877,302,75.8,805,0.4312,234,53013,25559,49877,54945,3179,8.7,100400,2013
Harding County,South Dakota,46,63,12.8,1330,1262,0,81.9,434,0.4199,19,44353,22247,1262,1330,4,11.0,69400,2013
Hardy County,West Virginia,54,31,16.4,13922,13490,108,81.1,543,0.429,23,32723,19032,13490,13922,238,9.5,123100,2013
Harford County,Maryland,24,25,11.5,246664,200084,1491,77.7,1119,0.3968,523,80622,35425,200084,246664,31637,9.0,281800,2013
Harlan County,Kentucky,21,95,13.1,29012,27783,185,78.9,469,0.4814,47,25906,16257,27783,29012,739,8.9,52000,2013
Harlan County,Nebraska,31,83,23.6,3445,3369,3,80.1,546,0.3946,4,45920,25322,3369,3445,5,3.5,75100,2013
Harmon County,Oklahoma,40,57,16.1,2894,2026,7,81.8,504,0.5239,61,26688,18582,2026,2894,208,9.5,43400,2013
Harnett County,North Carolina,37,85,9.0,118793,82467,1122,74.1,756,0.4244,1060,44625,20310,82467,118793,24969,10.3,132600,2013
Harney County,Oregon,41,25,19.1,7314,6752,86,81.3,560,0.4176,251,38113,20865,6752,7314,34,9.2,112300,2013
Harper County,Kansas,20,77,18.3,5951,5726,43,78.7,597,0.4526,68,38313,22820,5726,5951,12,7.4,66100,2013
Harper County,Oklahoma,40,59,15.7,3710,3538,4,77.5,508,0.4019,9,46117,22675,3538,3710,1,7.1,68500,2013
Harris County,Georgia,13,145,13.0,32267,25621,58,79.2,893,0.4354,68,69223,31482,25621,32267,5502,8.4,203800,2013
Harris County,Texas,48,201,7.4,4182285,2634618,53121,74.6,880,0.4943,19737,53137,27899,2634618,4182285,790585,10.4,131400,2013
Harrison County,Indiana,18,61,13.0,39213,38249,205,78.7,690,0.3971,10,50510,23244,38249,39213,224,7.9,122100,2013
Harrison County,Iowa,19,85,15.8,14729,14433,132,78.8,607,0.3961,44,54583,26184,14433,14729,8,7.2,108200,2013
Harrison County,Kentucky,21,97,13.5,18693,17812,158,77.9,588,0.4767,95,36048,21424,17812,18693,312,8.5,109400,2013
Harrison County,Mississippi,28,47,10.9,190756,134374,2368,77.7,852,0.4522,743,43124,22677,134374,190756,43259,11.6,143000,2013
Harrison County,Missouri,29,81,18.3,8871,8683,88,75.8,552,0.4155,9,37739,19468,8683,8871,66,6.9,71300,2013
Harrison County,Ohio,39,67,17.0,15766,15118,167,80.1,577,0.4367,9,39002,21029,15118,15766,393,7.2,83500,2013
Harrison County,Texas,48,203,12.4,66467,48930,422,75.8,682,0.4671,67,45675,23236,48930,66467,15020,10.0,108700,2013
Harrison County,West Virginia,54,33,14.4,69078,66263,616,79.8,615,0.4467,140,43183,23309,66263,69078,1166,7.6,94600,2013
Harrisonburg City,Virginia,51,660,6.8,49926,42443,822,84.0,852,0.4753,72,38048,17080,42443,49926,3532,35.6,208100,2013
Hart County,Georgia,13,147,16.6,25348,19537,95,80.0,546,0.473,5,35615,20371,19537,25348,5117,9.4,118400,2013
Hart County,Kentucky,21,99,13.8,18345,17102,125,77.7,503,0.4731,36,33408,17273,17102,18345,970,8.5,78900,2013
Hartford County,Connecticut,9,3,12.7,895827,652952,9547,79.2,974,0.4682,2036,64967,34698,652952,895827,118531,9.6,241500,2013
Hartley County,Texas,48,205,9.8,6076,5098,28,83.6,717,0.4447,3,65750,24566,5098,6076,490,3.6,143700,2013
Harvey County,Kansas,20,79,15.2,34722,32181,325,78.0,657,0.402,155,50287,23775,32181,34722,486,8.9,111600,2013
Haskell County,Kansas,20,81,10.9,4219,3500,14,71.2,700,0.4099,98,52415,25114,3500,4219,0,9.5,103300,2013
Haskell County,Oklahoma,40,61,17.5,12849,9507,115,77.8,574,0.4207,1766,35334,18896,9507,12849,101,8.6,78000,2013
Haskell County,Texas,48,207,18.3,5885,4970,32,83.9,412,0.4605,0,36857,22223,4970,5885,256,12.1,45200,2013
Hawaii County,Hawaii,15,1,14.5,187044,61793,1532,79.3,1049,0.4613,563,51250,24635,61793,187044,1246,8.6,309800,2013
Hawkins County,Tennessee,47,73,16.0,56759,54721,365,80.2,581,0.4429,324,37357,20662,54721,56759,734,7.3,108900,2013
Hays County,Texas,48,209,8.1,164144,134472,1492,77.7,930,0.4565,780,58651,26873,134472,164144,5623,17.6,175600,2013
Haywood County,North Carolina,37,87,19.9,58951,56279,471,82.6,713,0.433,334,41557,24536,56279,58951,539,8.0,156900,2013
Haywood County,Tennessee,47,75,12.5,18531,8585,296,76.2,625,0.4603,46,34542,18714,8585,18531,9247,8.6,94500,2013
Heard County,Georgia,13,149,12.9,11708,10234,106,77.1,641,0.4189,5,39909,18964,10234,11708,1123,7.9,93200,2013
Hemphill County,Texas,48,211,12.8,3959,3545,18,73.9,591,0.4453,19,56379,29544,3545,3959,4,7.1,97800,2013
Hempstead County,Arkansas,5,57,14.1,22509,14850,188,75.3,573,0.4508,49,32056,17376,14850,22509,6671,7.1,73100,2013
Henderson County,Illinois,17,71,20.1,7186,6939,23,83.2,545,0.4072,2,49389,25902,6939,7186,29,6.5,83700,2013
Henderson County,Kentucky,21,101,12.8,46303,41204,486,77.5,589,0.4435,155,41940,22746,41204,46303,3466,8.3,99400,2013
Henderson County,North Carolina,37,89,20.8,107583,98161,1048,81.0,732,0.4406,349,44815,25670,98161,107583,3558,7.2,185500,2013
Henderson County,Tennessee,47,77,13.4,27934,24933,232,76.9,589,0.4364,12,38280,20449,24933,27934,2328,7.9,94400,2013
Henderson County,Texas,48,213,18.2,78636,70187,874,78.6,709,0.4537,591,40900,21995,70187,78636,5089,8.4,87800,2013
Hendricks County,Indiana,18,63,9.7,148623,133892,922,75.8,906,0.374,188,68297,29830,133892,148623,7766,8.2,159800,2013
Hendry County,Florida,12,51,11.3,38346,26406,120,74.8,753,0.4562,693,35425,16133,26406,38346,4901,11.0,81400,2013
Hennepin County,Minnesota,27,53,10.0,1170623,880209,15550,79.2,917,0.4805,9532,64403,37485,880209,1170623,137251,9.7,230900,2013
Henrico County,Virginia,51,87,10.6,311314,185792,3335,76.9,1008,0.44,986,61048,33115,185792,311314,91765,8.6,219900,2013
Henry County,Alabama,1,67,17.1,17308,11992,47,79.7,545,0.4321,0,41650,21924,11992,17308,4741,8.6,97000,2013
Henry County,Georgia,13,151,8.1,206349,113020,1777,73.3,1061,0.3904,230,60781,25299,113020,206349,76916,9.3,147500,2013
Henry County,Illinois,17,73,15.4,50260,47446,317,77.9,632,0.4166,135,52940,27117,47446,50260,861,8.2,109800,2013
Henry County,Indiana,18,65,13.9,49275,47053,376,81.7,621,0.4309,103,40679,20309,47053,49275,812,8.9,94200,2013
Henry County,Iowa,19,87,13.7,20188,18758,174,79.7,587,0.4276,58,46376,22687,18758,20188,457,9.9,103700,2013
Henry County,Kentucky,21,103,12.8,15425,14398,86,76.2,692,0.4252,27,46016,21923,14398,15425,517,7.6,123300,2013
Henry County,Missouri,29,83,18.5,22183,21409,317,79.2,615,0.4525,74,39839,22394,21409,22183,290,7.1,95700,2013
Henry County,Ohio,39,69,13.9,28164,26909,114,77.4,673,0.3872,26,49439,23347,26909,28164,77,8.2,114000,2013
Henry County,Tennessee,47,79,18.4,32293,28933,230,78.9,599,0.4792,76,36950,22239,28933,32293,2669,7.3,91300,2013
Henry County,Virginia,51,89,18.1,53451,39777,397,80.8,586,0.4312,21,34984,19852,39777,53451,11569,8.0,94600,2013
Herkimer County,New York,36,43,15.8,64428,62154,725,80.3,614,0.4168,123,45047,23418,62154,64428,676,9.1,92500,2013
Hernando County,Florida,12,53,25.3,173119,155440,1024,81.8,885,0.419,565,41024,21411,155440,173119,9170,7.1,117400,2013
Hertford County,North Carolina,37,91,13.1,24516,8842,172,81.1,634,0.504,312,33406,17863,8842,24516,14471,11.1,84200,2013
Hettinger County,North Dakota,38,41,24.2,2539,2472,7,81.3,432,0.452,24,47743,27910,2472,2539,17,3.6,74400,2013
Hickman County,Kentucky,21,105,19.0,4834,4283,26,78.4,548,0.3958,0,34029,19292,4283,4834,408,6.4,62400,2013
Hickman County,Tennessee,47,81,12.4,24428,22625,208,80.4,647,0.4288,24,39581,18383,22625,24428,1218,8.6,100400,2013
Hickory County,Missouri,29,85,30.2,9499,9223,80,84.6,491,0.4159,32,29325,17361,9223,9499,17,5.4,98700,2013
Hidalgo County,New Mexico,35,23,16.9,4834,4241,60,78.6,444,0.4468,25,34080,18392,4241,4834,35,9.6,76800,2013
Hidalgo County,Texas,48,215,8.9,790646,702346,4793,68.2,641,0.4897,2675,34146,14222,702346,790646,4535,11.2,78100,2013
Highland County,Ohio,39,71,14.1,43395,41822,410,76.3,631,0.4057,83,39091,19348,41822,43395,439,8.5,101800,2013
Highland County,Virginia,51,91,32.8,2276,2273,0,94.9,490,0.4002,0,49625,26372,2273,2276,0,3.5,171700,2013
Highlands County,Florida,12,55,31.3,98275,83588,762,83.0,719,0.4339,599,35560,20072,83588,98275,9474,7.4,93600,2013
Hill County,Montana,30,41,11.3,16301,11920,164,75.5,516,0.428,3742,43726,21376,11920,16301,37,11.6,122600,2013
Hill County,Texas,48,217,18.1,35051,31144,228,77.9,647,0.4406,402,40769,21182,31144,35051,2420,8.3,83400,2013
Hillsborough County,Florida,12,57,10.7,1257913,913889,17388,78.2,952,0.4771,6677,49596,27149,913889,1257913,212004,10.3,160000,2013
Hillsborough County,New Hampshire,33,11,10.9,402017,365621,5040,79.4,1049,0.4276,638,69829,34390,365621,402017,8796,9.0,249900,2013
Hillsdale County,Michigan,26,59,14.7,46463,45262,218,79.2,639,0.4136,237,41759,20379,45262,46463,239,9.8,103700,2013
Hinds County,Mississippi,28,49,9.4,246300,69163,2701,75.1,767,0.4901,242,37626,20448,69163,246300,171602,11.9,106400,2013
Hitchcock County,Nebraska,31,87,20.2,2884,2823,8,80.4,554,0.3975,14,39702,23554,2823,2884,5,6.1,62300,2013
Hocking County,Ohio,39,73,15.1,29268,28496,187,79.0,584,0.418,9,42089,21037,28496,29268,233,7.7,109800,2013
Hockley County,Texas,48,219,11.5,23115,18784,131,75.4,670,0.4439,191,50565,21984,18784,23115,718,13.3,79300,2013
Hodgeman County,Kansas,20,83,21.8,1946,1921,18,78.3,526,0.4325,0,52375,30440,1921,1946,1,4.0,76500,2013
Hoke County,North Carolina,37,93,6.0,48842,23014,449,71.4,781,0.4207,3928,45489,18761,23014,48842,16440,9.3,141300,2013
Holmes County,Florida,12,59,15.2,19864,17934,112,83.2,602,0.4252,50,35511,16845,17934,19864,1095,10.3,83400,2013
Holmes County,Mississippi,28,51,11.5,18931,3000,81,71.9,472,0.4918,16,22325,12113,3000,18931,15717,13.1,49000,2013
Holmes County,Ohio,39,75,10.5,42841,42327,94,69.6,564,0.3928,25,45477,17177,42327,42841,170,10.4,151400,2013
Holt County,Missouri,29,87,19.0,4771,4638,39,81.1,476,0.4088,36,42979,24127,4638,4771,31,7.4,78900,2013
Holt County,Nebraska,31,89,17.9,10435,10081,17,79.0,543,0.4173,79,44427,24120,10081,10435,4,6.9,90500,2013
Honolulu County,Hawaii,15,3,12.8,964678,205420,12737,80.1,1467,0.4195,2026,72764,30361,205420,964678,22246,11.4,556300,2013
Hood County,Texas,48,221,21.0,51756,47513,523,80.4,849,0.4343,368,55754,30046,47513,51756,326,7.7,150900,2013
Hood River County,Oregon,41,27,11.6,22427,20327,271,76.7,791,0.3792,86,56725,25181,20327,22427,120,8.3,321700,2013
Hoonah-Angoon Census Area,Alaska,2,105,16.0,2141,1041,19,84.1,733,0.44,785,49545,28806,1041,2141,9,4.4,200500,2013
Hopewell City,Virginia,51,670,13.1,22429,12488,299,75.5,820,0.4165,29,37933,20388,12488,22429,8562,8.6,139400,2013
Hopkins County,Kentucky,21,107,13.9,46810,42397,348,78.0,590,0.4443,87,40891,22132,42397,46810,2846,7.7,83300,2013
Hopkins County,Texas,48,223,14.5,35295,30500,261,76.3,684,0.4348,247,43657,21606,30500,35295,2685,8.5,94000,2013
Horry County,South Carolina,45,51,17.0,276688,222383,2465,81.3,833,0.453,789,42431,24002,222383,276688,37552,9.7,159600,2013
Hot Spring County,Arkansas,5,59,14.3,33182,28641,264,80.2,632,0.4189,131,41193,19286,28641,33182,3803,8.7,81300,2013
Hot Springs County,Wyoming,56,17,22.2,4825,4691,41,80.6,566,0.4302,47,42019,26544,4691,4825,11,3.3,143900,2013
Houghton County,Michigan,26,61,12.9,36494,34348,352,82.4,595,0.4606,260,35430,19783,34348,36494,256,25.5,88400,2013
Houston County,Alabama,1,69,13.2,102326,71505,1058,77.0,663,0.4745,327,40948,23316,71505,102326,26349,8.5,122300,2013
Houston County,Georgia,13,153,9.4,143205,89838,1514,75.5,818,0.4157,164,54893,25195,89838,143205,41605,10.5,132900,2013
Houston County,Minnesota,27,55,16.5,18915,18420,145,80.2,585,0.4071,33,52545,26450,18420,18915,48,7.3,156500,2013
Houston County,Tennessee,47,83,16.7,8375,7948,116,78.2,574,0.4255,12,35271,18539,7948,8375,195,7.8,87300,2013
Houston County,Texas,48,225,16.8,23365,15847,142,82.6,612,0.5034,10,33119,19090,15847,23365,6226,8.2,74300,2013
Howard County,Arkansas,5,61,13.7,13748,9473,269,74.9,552,0.4466,113,35879,18707,9473,13748,2944,7.8,74500,2013
Howard County,Indiana,18,67,14.9,82795,73372,642,78.7,637,0.4363,192,43590,24071,73372,82795,5941,8.3,98500,2013
Howard County,Iowa,19,89,16.7,9560,9410,42,77.4,553,0.4282,1,46429,24286,9410,9560,54,6.3,91800,2013
Howard County,Maryland,24,27,9.7,293821,180580,2752,76.9,1489,0.3948,499,109865,48172,180580,293821,52941,8.2,428100,2013
Howard County,Missouri,29,89,14.0,10184,9351,83,79.4,595,0.463,47,42747,21598,9351,10184,527,13.8,96400,2013
Howard County,Nebraska,31,93,17.6,6308,6186,32,77.7,558,0.44,48,49088,26770,6186,6308,0,6.4,101200,2013
Howard County,Texas,48,227,11.0,35297,27256,238,81.6,693,0.4399,324,45612,19965,27256,35297,1877,10.5,65900,2013
Howell County,Missouri,29,91,15.7,40458,38879,227,76.3,546,0.4461,271,32533,17416,38879,40458,111,8.7,97700,2013
Hubbard County,Minnesota,27,57,21.0,20440,19327,76,80.8,597,0.4194,394,45961,24880,19327,20440,69,6.0,170400,2013
Hudson County,New Jersey,34,17,8.6,644605,357072,13489,81.3,1174,0.4931,2805,58442,32641,357072,644605,83576,10.3,347200,2013
Hudspeth County,Texas,48,229,15.2,3394,3162,0,76.9,580,0.512,0,22545,14142,3162,3394,21,7.5,41400,2013
Huerfano County,Colorado,8,55,25.7,6625,5051,100,83.5,744,0.4959,424,33298,24058,5051,6625,92,3.9,152400,2013
Hughes County,Oklahoma,40,63,14.5,13838,9406,68,80.8,577,0.4628,2305,34619,18268,9406,13838,752,9.0,66200,2013
Hughes County,South Dakota,46,65,13.1,17238,14584,167,77.3,568,0.4286,1611,59338,30284,14584,17238,162,6.5,160900,2013
Humboldt County,California,6,23,12.2,134613,111409,1870,82.3,889,0.4588,7625,41426,23540,111409,134613,1632,12.9,288300,2013
Humboldt County,Iowa,19,91,18.2,9776,9525,134,78.1,574,0.4018,7,47897,26746,9525,9776,12,6.9,84900,2013
Humboldt County,Nevada,32,13,9.0,16800,14795,66,76.2,741,0.4083,802,59472,26515,14795,16800,95,8.7,147400,2013
