County,State,State_FIPS,County_FIPS,health_insurance_rate
Dearborn County,Indiana,18,029,10.0
Decatur County,Indiana,18,031,12.8
DeKalb County,Indiana,18,033,13.7
Delaware County,Indiana,18,035,13.6
Dubois County,Indiana,18,037,8.5
Elkhart County,Indiana,18,039,19.5
Fayette County,Indiana,18,041,17.9
Floyd County,Indiana,18,043,12.4
Fountain County,Indiana,18,045,13.3
Franklin County,Indiana,18,047,10.6
Fulton County,Indiana,18,049,16.3
Gibson County,Indiana,18,051,11.0
Grant County,Indiana,18,053,14.9
Greene County,Indiana,18,055,15.0
Hamilton County,Indiana,18,057,7.0
Hancock County,Indiana,18,059,9.9
Harrison County,Indiana,18,061,10.8
